,true_production,hybrid_forecast
2444,827.2,802.8938369043203
2445,839.36,807.0959045313463
2446,776.66,808.0788850126863
2447,819.66,808.8551556044035
2448,829.23,809.4681851029582
2449,767.76,813.014957965843
2450,948.12,880.4024632303208
2451,944.39,901.9184792038761
2452,924.64,866.4585055977773
2453,902.12,881.0703935662444
2454,890.65,881.2190866638897
2455,886.77,875.1469112527647
2456,943.93,884.5782427533572
2457,927.74,882.844761348178
2458,925.05,889.7211403752626
2459,898.87,899.8259604797954
2460,885.57,899.8620266680285
2461,913.75,893.3195585370099
2462,875.95,904.5090509849343
2463,873.07,909.9717635206011
2464,554.0,734.1166031730347
2465,89.29,483.1300098316143
2466,1162.07,1353.2406074231044
2467,810.62,923.1944585328629
2468,433.41,739.2999094026651
2469,381.15,724.7977177866117
2470,812.31,897.113524941124
2471,708.94,910.4280618372529
2472,697.18,905.2000587089356
2473,710.02,908.3915593745444
2474,706.05,915.9221988427369
2475,704.3,894.503743860891
2476,702.34,915.7629691233208
2477,683.84,960.5393975088841
2478,716.3,982.8020121785274
2479,724.37,982.8024186188546
2480,706.94,982.8027395892902
2481,689.52,954.3512930632041
2482,717.38,954.3514932343662
2483,716.15,960.5412513117536
2484,699.15,960.5413761472204
2485,705.72,954.8935747311732
2486,704.86,960.5415525840147
2487,709.02,960.5416140652673
2488,670.85,960.5416626176946
2489,716.24,992.5260847836144
2490,713.85,986.3365150630256
2491,717.16,986.3365389750126
2492,715.86,971.9851078585739
2493,718.68,992.2119227711319
2494,697.73,992.1546345477443
2495,693.61,998.3442438478658
2496,691.71,991.8924511922748
2497,706.94,990.4228319922362
2498,705.8,925.3591599058635
2499,706.67,990.3784813661096
2500,707.62,1001.6204342225805
2501,700.36,937.4777223117006
2502,708.18,999.597800759787
2503,703.7,937.4777254999276
2504,712.24,940.7027766108987
2505,721.35,917.1878489961813
2506,722.86,925.072749133476
2507,713.91,912.1059002361826
2508,733.31,913.2548251127187
2509,740.9,919.7696518825178
2510,91.33,623.3528588186551
2511,0.0,-1.4105909685406246
2512,0.0,-1.558590800486688
2513,44.33,609.1454593322276
2514,736.05,932.9270803894145
2515,741.77,933.2383804721808
2516,706.56,918.9855634740501
2517,666.68,915.7364265415397
2518,697.6,918.8640530108736
2519,708.43,921.1120030430639
2520,681.4,920.298853068485
2521,696.82,924.2525530885604
2522,692.08,925.0922531044139
2523,691.59,922.6106531169339
2524,687.75,922.610653126821
2525,687.95,922.6763531346288
2526,680.56,922.6763531407948
2527,683.38,922.6763531456642
2528,680.74,922.6763531495095
2529,673.76,924.7618239217771
2530,676.68,921.3536989241752
2531,678.43,927.543298926069
2532,677.43,921.3536989275647
2533,682.49,921.3536989287458
2534,682.37,923.8352989296785
2535,688.32,925.1579531611843
2536,696.2,925.157953161766
2537,689.54,925.0922531622252
2538,695.3,922.7804531625882
2539,696.95,910.9089031628746
2540,702.6,910.9089031631008
2541,702.84,922.7804531632796
2542,590.64,926.7341531634206
2543,588.04,925.157953163532
2544,582.39,925.15795316362
2545,582.17,925.1579531636895
2546,585.19,922.6763531637444
2547,579.58,922.6763531637877
2548,580.26,922.6763531638219
2549,583.11,925.157953163849
2550,582.93,925.1579531638703
2551,578.2,925.1579531638872
2552,570.35,922.6763531639004
2553,559.85,924.7618239331417
2554,559.22,921.35369893315
2555,547.96,921.3536989331566
2556,549.33,921.3536989331617
2557,542.91,921.3536989331658
2558,545.05,921.3536989331691
2559,546.42,921.3536989331716
2560,546.98,921.3098989331736
2561,546.48,927.4994989331751
2562,540.49,920.5924789331765
2563,555.57,925.5524773300817
2564,555.33,925.5524773300824
2565,558.78,927.9811639967498
2566,557.27,927.9811639967503
2567,553.86,927.9811639967508
2568,557.58,927.981163996751
2569,557.21,935.5267542509886
2570,549.51,927.9811639967514
2571,542.28,933.0013542509888
2572,514.19,935.482954250989
2573,550.41,927.9811639967518
2574,518.83,935.4829542509892
2575,535.65,935.4829542509892
2576,526.44,933.0013542509893
2577,536.59,933.0013542509893
